STOCK_NAME,PROFIT_FACTOR
AALR3,4.09
ABEV3,1.40
AESB3,1.35
ALSO3,1.37
ALUP11,3.04
AMBP3,3.28
B3SA3,2.36
BBAS3,1.61
BBDC4,1.54
BBSE3,2.18
BPAC11,3.81
BPAN4,1.99
BRML3,1.51
BRPR3,1.51
BRSR6,2.89
CAML3,2.08
CCRO3,1.96
CMIG4,2.50
CRFB3,2.09
CSAN3,1.74
CVCB3,1.43
CYRE3,1.73
ECOR3,1.45
EGIE3,2.55
ELET3,2.43
EMBR3,2.22
ENAT3,1.56
ENEV3,1.95
ENGI11,2.09
EQTL3,2.08
FLRY3,1.77
GNDI3,1.58
GOAU4,1.71
GUAR3,1.51
HYPE3,5.73
ITSA4,2.13
ITUB4,2.57
JBSS3,3.70
KLBN11,2.26
LCAM3,1.93
LJQQ3,1.43
LOGG3,2.39
LREN3,1.48
LWSA3,2.23
MGLU3,1.75
MRFG3,1.58
MRVE3,1.48
MULT3,1.89
NEOE3,1.68
ODPV3,1.56
PETZ3,1.78
PNVL3,1.67
PRIO3,2.71
PTBL3,1.91
RADL3,1.63
RAIL3,1.81
RANI3,1.34
RAPT4,1.83
RENT3,1.95
ROMI3,2.43
SANB11,2.59
SAPR11,1.45
SLCE3,1.98
SMTO3,1.32
TAEE11,1.64
TASA4,1.50
TIMS3,1.45
TRPL4,3.30
UGPA3,1.45
VIIA3,1.96
VIVA3,1.75
VIVT3,2.60
VULC3,1.57
WEGE3,1.40
WIZS3,2.46
YDUQ3,1.37
